Make,Model,Buyer Gender,Buyer Age,Country,City,Color,New Car,Purchase Date,Sale Price,Resell Price,5-yr Depreciation,Top Speed,0-60 Time
Suzuki,Vitara,Female,51,Belgium,Antwerpen,Yellow,FALSE,19/07/2009,54806.14,33858.32,0.13,200.9,11.5
Honda,S2000,Male,30,China,Jinhu,Crimson,FALSE,26/10/2015,51826.3,2989.28,0.02,158.5,8.8
BMW,Z4,Female,54,China,Gemo,Khaki,FALSE,28/03/2010,82929.14,35049.16,0.24,149.5,14.4
Toyota,Tacoma,Male,68,Portugal,Queluz de Baixo,Puce,FALSE,07/05/2008,56928.66,8236.15,0.2,153.3,11.5
Ford,Festiva,Male,70,Latvia,Jaunpils,Yellow,FALSE,01/06/2008,77201.26,32765.76,0.18,122,14.9
Buick,Skylark,Female,70,Mexico,Guadalupe,Crimson,FALSE,17/05/2007,50882.23,38576.59,0.16,182.7,9.6
Infiniti,QX,Male,66,Japan,Gosen,Fuscia,TRUE,11/08/2017,69680.54,27962.25,0.18,231.8,5.3
Ram,C/V,Male,37,Russia,Izborsk,Aquamarine,TRUE,23/11/2007,56393.91,29157.95,0.14,144.1,4.7
GMC,Safari,Male,43,Luxembourg,Eschweiler,Mauv,TRUE,16/03/2003,13797.81,31062.38,0.01,223.3,5.8
Nissan,Altima,Female,73,Cyprus,Meneou,Puce,TRUE,19/05/2019,15176.04,45892.79,0.12,170.4,4.1
Toyota,Previa,Female,67,Brazil,Freguesia do Ribeirao da Ilha,Violet,TRUE,02/03/2004,82844.12,4740.87,0.05,135.4,8.9
Scion,xB,Female,29,China,Chengbei,Green,TRUE,09/09/2008,95681.78,16358.27,0.08,136.4,4.1
Porsche,928,Female,37,Philippines,Pangal Sur,Fuscia,FALSE,26/01/2020,90954.5,40650.31,0.1,213.9,2.5
Lexus,HS,Male,43,Paraguay,Villa Elisa,Turquoise,FALSE,28/06/2014,46666.83,33634.37,0.08,134.1,4.4
GMC,Yukon,Male,41,Mexico,San Isidro,Teal,TRUE,06/10/2020,11280,9279.51,0.08,248.7,7.3
Mitsubishi,Mirage,Male,21,China,Dalu,Indigo,FALSE,14/04/2011,23110.07,41916.47,0.04,245.6,3.4
Dodge,Viper,Male,57,Indonesia,Sumberejo,Teal,TRUE,17/10/2004,77346.39,32280.44,0.18,159.8,8.2
Mazda,B2500,Female,54,Togo,Tchamba,Crimson,TRUE,27/09/2002,15500.07,20175.47,0.04,185.6,5.4
Land Rover,LR3,Male,37,Palestinian Territory,Ar Ramāḑīn,Aquamarine,FALSE,28/09/2015,84151.25,49656.3,0.05,120.6,13
Isuzu,Space,Female,66,China,Dengteke,Green,FALSE,20/10/2009,97058.87,21985.35,0.21,136.6,8.5
Acura,TL,Female,43,Iran,Rāmhormoz,Red,TRUE,15/05/2005,74986.42,31655.99,0.02,125.2,11.8
Pontiac,Bonneville,Female,56,Hong Kong,Hong Kong,Pink,TRUE,22/05/2003,63314.15,36647.24,0.09,175.4,12.1
Dodge,Dakota Club,Male,53,Bangladesh,Jessore,Yellow,FALSE,29/04/2007,77520.81,23681.6,0.24,143.7,13
Audi,Cabriolet,Female,55,Ecuador,Macas,Puce,TRUE,23/07/2008,78231.21,5938.36,0.02,155,3.4
Pontiac,Sunfire,Male,32,Afghanistan,Khudāydād Khēl,Maroon,TRUE,21/01/2020,62931.23,27403.55,0.17,126.2,10.8
Citroën,2CV,Male,47,Kazakhstan,Zhangatas,Green,FALSE,23/12/2018,44071.48,43216.49,0.06,245.1,13.9
Ford,Tempo,Female,72,Philippines,Binalonan,Pink,FALSE,07/11/2008,65774.81,33514.28,0.12,247.5,7.1
Buick,LeSabre,Male,47,United States,Jacksonville,Puce,TRUE,26/01/2006,16281.78,43289.16,0.03,248.2,3.8
Saab,9-2X,Male,67,Poland,Łąck,Pink,FALSE,26/02/2019,99305.5,6753.2,0.24,120.3,8.2
Buick,Skylark,Female,57,China,Dasiping,Violet,TRUE,05/04/2020,57747.61,31158.31,0.01,220.2,3.9
Ford,Escape,Male,42,France,Saint-Étienne,Crimson,TRUE,27/09/2002,56105.94,48912.1,0.13,205.3,4.2
Mercury,Sable,Female,66,China,Longgao,Orange,FALSE,03/12/2006,54543.15,39275.37,0.22,185.2,5.8
Plymouth,Colt,Female,67,Indonesia,Gudang,Teal,FALSE,05/09/2003,98635.22,12622.44,0.12,130.6,3.5
Infiniti,G,Female,68,Vietnam,Thành Phố Hạ Long,Goldenrod,FALSE,16/11/2014,14908.65,44991.92,0.23,140.7,8.9
Maserati,Spyder,Female,65,Bhutan,Mongar,Violet,FALSE,10/05/2005,98249.11,42102.6,0.1,208.9,3.3
Buick,Riviera,Female,49,Mexico,Francisco I Madero,Indigo,TRUE,03/09/2003,18698.98,35681.18,0.22,230.7,7.8
Cadillac,Seville,Male,52,Indonesia,Mondokan,Turquoise,TRUE,07/07/2008,31017.64,11061.65,0.18,132.6,12.7
Buick,Century,Male,75,Mexico,Guadalupe Victoria,Turquoise,FALSE,01/04/2004,32002.48,23777.88,0.02,224.7,5.8
Scion,iQ,Male,48,France,Saint-Dizier,Teal,FALSE,10/03/2011,74486.44,12498.33,0.2,177.8,12.7
BMW,7 Series,Male,29,Afghanistan,Kandahār,Teal,TRUE,07/08/2015,89823.58,2386.28,0.07,160.8,10.9
Chevrolet,Camaro,Male,49,Serbia,Beška,Maroon,FALSE,19/11/2005,33074.12,25108.18,0.12,138.3,8.2
Subaru,Outback,Female,72,Sweden,Norrköping,Yellow,FALSE,23/10/2013,71250.14,16427.16,0.23,193.4,14.9
Mercedes-Benz,C-Class,Female,23,United States,Roanoke,Purple,FALSE,22/03/2016,17346.3,35127.97,0.13,227.5,2.6
Mercedes-Benz,Sprinter 3500,Female,28,Russia,Roshal’,Green,FALSE,24/10/2008,17223.27,41532.58,0.22,236.5,14.9
Chevrolet,Suburban 1500,Male,36,Maldives,Open Stage,Pink,TRUE,18/03/2009,10490.64,16590.68,0.22,230.7,12
Volkswagen,Cabriolet,Female,22,Argentina,Costa Sacate,Fuscia,TRUE,30/04/2016,62673.34,30736.63,0.11,195.4,7.6
Ford,E-Series,Female,40,China,Ciyu,Indigo,TRUE,11/03/2014,10978.72,43459.97,0.06,213,4.4
Pontiac,Bonneville,Male,20,Czech Republic,Třebíč,Goldenrod,FALSE,09/08/2011,30807.01,5822.22,0.06,170,4.8
Volvo,XC70,Male,48,Russia,Dal’neye Konstantinovo,Orange,TRUE,11/10/2017,83931.45,33976.28,0.07,125.2,9.7
Chevrolet,Silverado 3500,Male,60,Russia,Strel'na,Red,TRUE,02/03/2012,19302.57,38297.54,0.09,233.3,8
Volkswagen,Phaeton,Male,45,Portugal,Marinha,Red,TRUE,16/04/2012,36523.47,48115.11,0.14,182.4,9.9
Cadillac,CTS,Female,57,Mozambique,Mocímboa,Indigo,TRUE,17/07/2013,93725.09,9196.36,0.19,232.3,7.4
Dodge,Durango,Female,48,Colombia,Ciénaga,Green,FALSE,28/12/2008,48174.96,27476.49,0.24,210,4.6
Ford,Th!nk,Female,54,Costa Rica,Alajuela,Red,TRUE,18/01/2011,39940.53,21190.78,0.16,133.5,3
Lincoln,Continental,Male,40,Belgium,Charleroi,Mauv,FALSE,28/09/2009,62801.41,30282.08,0.15,145.1,10.3
Buick,Riviera,Male,43,Russia,Novocherkassk,Mauv,FALSE,04/11/2014,99186.8,25198.46,0.11,163.2,13.3
Dodge,Ram 1500,Male,37,China,Jiangbei,Indigo,FALSE,25/09/2018,12092.44,36585.91,0.22,127.8,14.5
Buick,Rendezvous,Female,67,China,Guli,Red,TRUE,19/08/2007,85370.17,43712.39,0.12,122,6.6
Porsche,928,Female,52,Portugal,Casal Velho,Red,FALSE,18/02/2009,91569.45,32465.38,0.09,238.2,7
Toyota,Tacoma,Male,47,Morocco,Zaïo,Blue,TRUE,17/02/2008,72220.87,32189.6,0.05,189.9,2.7
Mitsubishi,Mighty Max,Male,51,Portugal,Antas,Puce,TRUE,19/10/2013,67361,8769.93,0.02,173.4,12.5
Nissan,Pathfinder,Female,33,Indonesia,Andongsari,Puce,TRUE,05/01/2013,16690.95,43704.45,0.06,140.9,3
Volvo,C70,Male,75,France,Saint-Louis,Yellow,FALSE,27/04/2009,80005.09,17870.18,0.19,184.5,14.4
Land Rover,Range Rover Sport,Female,39,Peru,Achoma,Mauv,FALSE,28/04/2003,29540.76,37955.07,0.03,239.9,7
Mazda,B-Series,Female,57,Brazil,Poções,Puce,TRUE,05/02/2008,94478.19,8795.96,0.17,241.1,13.3
Mazda,Miata MX-5,Female,33,Kazakhstan,Taranovskoye,Goldenrod,TRUE,07/09/2017,77820.86,7471.61,0.2,167.6,8.8
Mazda,B-Series,Male,23,Russia,Imeni Tsyurupy,Fuscia,TRUE,08/09/2009,89937.38,18059.9,0.18,247.1,14.3
Kia,Sedona,Female,47,China,Menlou,Aquamarine,FALSE,18/01/2014,14249.35,18006.37,0.19,131.8,9
Dodge,Ram Wagon B150,Female,31,Slovenia,Zgornje Gorje,Orange,TRUE,02/10/2014,88403.45,38462.86,0.17,140.5,9.4
Oldsmobile,Aurora,Male,29,Colombia,Baranoa,Yellow,TRUE,17/04/2015,80008.79,15031.08,0.02,212.2,10.1
Hyundai,Accent,Male,24,China,Raofeng,Violet,FALSE,30/12/2014,96871.79,26562.59,0.24,221.9,12.6
Cadillac,Seville,Male,56,Indonesia,Garahaji,Maroon,TRUE,15/10/2009,32886.45,8755.67,0.09,210.2,2.5
Hyundai,Scoupe,Female,54,Libya,Sirte,Turquoise,FALSE,06/06/2005,61187.73,5769.58,0.02,193.4,6.3
Lincoln,MKT,Male,22,Poland,Unisław,Mauv,FALSE,11/05/2017,82041.15,4828.57,0.18,194.4,9.5
Volkswagen,riolet,Male,68,Philippines,Veruela,Fuscia,FALSE,18/01/2008,61672.51,20056.62,0.17,180.6,10
Land Rover,Range Rover,Male,26,Greece,Xylókastro,Blue,TRUE,22/11/2010,63541.5,25320.33,0.04,156.6,3.2
Dodge,Dakota,Male,69,China,Dingqing,Indigo,TRUE,14/09/2013,67756.75,48952.84,0.14,171.1,8.8
Chevrolet,Corvette,Male,31,China,Waihai,Purple,TRUE,30/12/2005,26799.6,14872.73,0.2,237.1,6.7
Mitsubishi,i-MiEV,Female,61,Philippines,Mancilang,Mauv,FALSE,20/04/2020,86271.49,8972.83,0.23,171.5,13
GMC,Rally Wagon 3500,Male,33,South Korea,Incheon,Khaki,FALSE,01/12/2007,20227.66,13643.1,0.17,201.4,13.7
Acura,TSX,Female,53,Philippines,Allacapan,Yellow,TRUE,16/08/2020,95145.37,8939.94,0.15,135.6,13.9
Acura,ZDX,Male,21,Iran,Jongīyeh,Khaki,FALSE,23/01/2010,78654.35,40166.49,0.19,243.9,6.3
Jeep,Cherokee,Female,47,Costa Rica,Alajuela,Maroon,FALSE,16/01/2002,12269.08,24563.29,0.22,199.8,14.1
Toyota,Avalon,Female,24,China,Zhangshi,Aquamarine,TRUE,25/04/2016,86030.75,11812.27,0.19,209.8,8
Lamborghini,Aventador,Male,66,Serbia,Toba,Fuscia,FALSE,02/11/2005,13125.55,22598.45,0.17,196.6,10.9
Mercury,Tracer,Male,74,Denmark,København,Teal,FALSE,08/12/2005,10325.14,37585.42,0.02,164.4,5.4
Chevrolet,Express 3500,Male,53,Czech Republic,Strážnice,Green,FALSE,01/02/2003,94891.39,40867.01,0.2,233.7,9.7
Buick,Reatta,Male,40,Finland,Ruokolahti,Blue,TRUE,20/03/2015,41371.09,37181,0.06,120.9,13.5
Volkswagen,Jetta,Male,32,Indonesia,Krajan,Fuscia,FALSE,07/10/2006,72916.91,25187.09,0.06,167.4,6.4
Lincoln,Navigator L,Male,30,Philippines,Bombon,Goldenrod,FALSE,10/09/2012,49236.57,43125.82,0.2,233,4.7
Nissan,300ZX,Female,65,Japan,Okaya,Green,FALSE,07/11/2008,89316.77,48449.81,0.02,232,12.9
Toyota,MR2,Female,40,Argentina,Carhué,Fuscia,TRUE,21/06/2006,50551.94,17203.48,0.24,217,12.2
Suzuki,Swift,Male,68,Indonesia,Pandian,Purple,TRUE,01/06/2012,65942.41,5906.33,0.16,142.8,2.9
Mitsubishi,Tredia,Male,21,Indonesia,Cipanjang,Teal,FALSE,10/11/2015,64606.94,13087.44,0.17,158.5,2.9
Mitsubishi,Mirage,Male,51,Honduras,Quebradas,Pink,TRUE,18/07/2015,36633.17,44886.19,0.11,135.3,6.2
Chevrolet,Monte Carlo,Female,22,Philippines,Tarlac City,Purple,FALSE,18/07/2003,71271.58,35814.7,0.21,139.5,2.7
Saturn,VUE,Male,72,Bulgaria,Strazhitsa,Pink,TRUE,12/09/2018,51257.04,33433.41,0.18,124.9,10.5
Volkswagen,GTI,Female,24,Brazil,Brodósqui,Mauv,TRUE,12/04/2017,21483.41,28182.4,0.16,193.7,11.2
Plymouth,Prowler,Female,66,Indonesia,Kedungwringin,Yellow,FALSE,22/04/2012,96277.99,23765.17,0.06,164.9,9.5
Audi,A8,Female,37,Indonesia,Duwaktenggi,Maroon,FALSE,01/06/2013,11287.25,34835.55,0.09,169.1,7.1
Lamborghini,Diablo,Male,38,Mexico,Providencia,Mauv,FALSE,28/02/2013,87311.9,42468.37,0.04,245.1,7.2
Mercedes-Benz,R-Class,Male,71,Peru,Ica,Maroon,TRUE,10/01/2018,32143.59,29177.53,0.16,134.3,13.7
